詞	頻次	碼（各式，短→長）
李亞鵬	1136	tpiihiddm tpiihiddjsm
來歷	1136	tyyrjl tyyrjtjl
分別在	1136	vposnxf
沒資格	1136	wxisvtxo wxisydvtxo wsxisydvtxo
億美	1136	yiwvek yivbwvek
他們將	1136	ylyppka yplyppkda
你玩	1136	ymeil ymeijl ysmeijl
無所不能	1136	ymmrrtjqgc ymmrrtjqgdcc
做朋友	1136	yxddxx ytoxddxx
發黴	1135	axjyx axjywvx ajqsxjywvx
發霉	1135	axmii axmiiyi ajqsxmiiyi
羽絨	1135	ciigmq cicigmxxq
瞪着	1135	davvei dajqvvejdi
下臺	1135	ffof ffougf
到哪	1135	gnop gfnocijp
較難	1135	ibxhf ibtixhf ibtixhoiyf
軟化	1135	ibyyc ibtsyyc
三歲	1135	iiitlq iiitlrmq
一百個	1135	iijbyo iijbyoto
工況	1135	ijiwol ijiwojl
動聽	1135	jbjnew jbfcjneetw
而起	1135	jmfz jmftyz
不公平的	1135	jqvgivtja jqvgivtjba
將與	1135	kafsv kafsfv kdafsfv
把關	1135	kdlpph kdlppggh
娛樂八卦	1135	ljkjbtvffq ljoskjbggtvffq
對答案	1135	naaaoqut naaaaoquljt nvveaaaaoquljt
條件是	1135	nxtyjhby nxtyjhbfy
防備	1135	pisyhh pisyhjuh
中轉	1135	qiba qibtba
裸辭	1135	qktwpf qkbtwpugf
突破口	1135	quqjoxo quvkqjorxo
突飛猛進	1135	quqknkxjmyiz quvkqknkxjpmyifz
皮球	1135	rxekq
座機	1135	ryftgq ryyftggjq
內需	1135	uymm uymiijm
差勁	1135	veiilj vejiilllj
潮州	1135	wtdnnn wtbtdnnn
涉外	1135	wtmaq wtlmaq
涉案	1135	wtmqut wtlmquljt
浴缸	1135	wvoywi wvyoywi
改好	1135	zxli zxljpi
去掉了	1134	fgkttp fgktbtp
結成	1134	gmorq gmforq gmforcxq
軟裝	1134	ibykfk ibtsykfijk
更深刻	1134	ibxwutign ibxwuvtigyn
畜牧	1134	igtjhx igotjhx
西單	1134	ihioot ihioobt
入戶	1134	jqqr
把那些	1134	kdlcptli kdlcptlci kdlcijptlci
技術服務	1134	ktxjyjdpxppj ktxjytqjdpxppjxj
雷同	1134	mituo miiotuo
忙得	1134	miljya miljyba
對價	1134	nayhv nayhdv nvveayhdv
風行	1134	njgjj njogjj njogjyij
跑完	1134	otzqul otlszquijl
閒人	1134	ppdy
中長期	1134	qfikhed qfikhevd
遮掩	1134	rhzkkl rhmzkkbl
公共汽車	1134	vghvwazibt
銷售渠道	1134	yfdyiowctvz yfvwdyifowcctvz yfvwdyifowcctvjdz
銀行賬戶	1134	yfkjjdvkqr yfvekjjdvfikqr yfvekjyijdvfikqr
人事部	1134	yiojivp yioejivop
無故	1134	ymmtox
簡略	1133	aaboto aappbotxo
畢業時	1133	bhhnvrba bhhnvvhrba bhhnvvhrbfa
脂肪酸	1133	dcbdisihx dcbdisihigx
載人	1133	fbqy fbtxqy
鬆動	1133	figjbj figegjbfcj
藥劑	1133	hjtiyn hjbgtiypgn
驚天	1133	hsmixr hsoxmixr
轉戰	1133	ibaooq ibtbaoobtq
百事	1133	ijbioj ijbioej
課堂教學	1133	iotwuffjxfi iobtwuoffjpxfi iobtwuoffjpxfxxfi
天宇	1133	ixrquj ixrquij
動作片	1133	jbjykijtj jbfcjykijtj
生活上	1133	jhiwjojii jhiwjtojii
很香	1133	jkjtb jyekjtb
我從小	1133	jkqjym jkxqjyyyym
搶走	1133	kaofty karofty
恰飯	1133	maoaex maoaegrx
罪過	1133	meeoz meeouoz
小行星	1133	mjjbjf mjyijbjf
哎喲	1133	ohxoga ohxogma
關口	1133	ppho ppggho
複製到	1133	qkxjikgn qkybxjimnkgn qkybxjimnkgfn
本地區	1133	tjifplcoo tjrifplcooo
淚流滿面	1133	wrqwilwhyjoi wrkqwignlwhmyyjoni
沒過多久	1133	wxozaajjr wsxouozaajjr
何不	1133	yojjq
什麼話	1133	ytrgioo ytrttgiojto
人渣	1133	ywti ywtbi
多出來的	1132	aauwtyyja aauwtyyjba
地基	1132	fplhef fplhevf
若要	1132	hxoij hxoihlj
就要看	1132	iqijji iomxqihljjijdi
交通運輸	1132	ivxpuzubzibn ivxpuhzubtzibtan
一剎那	1132	ixtncp ixtqncp ixtqncijp
我學	1132	jkqfi jkxqfxxfi
我說過	1132	jkqioloz jkxqiovolouoz
後備箱	1132	jxyhhaai jxyhjuhaatdi jygxyhjuhaatdi
國際標準	1132	oqpdmthmwyt oqpdzimthemwyift ooxqpdzimthemwyift
被打破	1132	qkxkjjox qkrxkjjorx
廣交會	1132	rhvivxab rhufvivxab rhufvivxavb
質檢	1132	rtvtay rtrtvtaooy
乾坤	1132	tbzfbj tbtyzfbj
植被	1132	ttiqkx ttueiqkrx
汽車站	1132	wazibtivo wazibtivto
化驗	1132	ycshy ycshmay
銀監會	1132	yfkckiab yfvekckamiab yfvekckamiavb
人才網	1132	ytjgml ytjgmuvl
外資銀行	1131	aqisvyfkjj aqisydvyfvekjj aqisydvyfvekjyij
醫療費用	1131	cyirkmsnvuh cyknirkvbmsndvuh
巴特勒	1131	dljhahoj dljhfahotcj
退休後	1131	ekzytrjx ekzytjrjx ekzytjrjygx
下輩子	1131	fjetpi fjeebtpi
舉了	1131	fshp fsfvhp
散落	1131	hdxhwo hdxhwxo
革命性	1131	hotaopmjf
族人	1131	isky isyyky
一樣可以	1131	itkiojlqy itveqkiojlqy
文件系統	1131	ixyjhjgmgml ixyjhjgmgmigl
大醫院	1131	iycyipql iycyknipqujl
重在	1131	jbfxf
將這個	1131	kaizyo kdaiozyoto
批註	1131	kccioe kccioqe
批注	1131	kccwqe
擠兌	1131	kidvol kiypdvojl
折騰了	1131	krtdvmp krtdviymp
小菜	1131	mhwt
別處	1131	osnrxn
底色	1131	rcqsdl rcxqsdl
原唱	1131	rjmobb rjbmobb
痛心	1131	rphjlq rpuhjlqq
近現代	1131	rtzedlyxq rtzedjlyxq
應答	1131	rywaao rywaaao ryyiwaaao
同化	1131	uoyc
出什麼	1131	uwytrg uwytrttg
黑板	1131	vfmtrx
活化	1131	wjoyc wjtoyc
受苦	1131	wuxhto
剎那	1131	xtncp xtqncp xtqncijp
城建	1130	frqehz frcxqehz
幾把	1130	gqkdl ggjqqkdl
茶館	1130	hytaeb hytaegqb
牽涉	1130	ighwtm igujhwtlm
新來的	1130	ivttyyja ivtrttyyja ivtrttyyjba
乒乓	1130	jkjjkq
不假	1130	jqyrx jqyricx
科三	1130	jttiii jtitiii
向左	1130	juoxi
好遊戲	1130	liiszroq liisypzrovxq ljpiisypzrovxq
小妞	1130	mlji mljhi
單論	1130	ootioh oobtioauh
宿舍樓	1130	qubyfotbj quyjbyfotbqlj
原定	1130	rjmquy rjbmqufy
涼爽	1130	wimkxx wiomkxxxx
演奏家	1130	wqveyyqk wquuveyiyqk wquuveyiyqujk
彩妝	1130	wteklj
山林	1130	wtt
受人	1130	wuxy
有能力的	1130	xdgccjja xdgdcccjjba
管理機構	1129	aabebftgqthf aaqubebftggjqthuf
餘人	1129	aemy aegymy
發消息	1129	axwwdjdw ajqsxwwdjdw
領導力	1129	apvvjacj apjdvvjdzacj
印象派	1129	epsokwrk epsojkwrk
逼人	1129	iozy iootzy
交鋒	1129	ivxyfj ivxyfvxj
自動生成	1129	jdijbjjhirq jdijbfcjjhirq jdijbfcjjhircxq
自由主義	1129	jdiufqeveq jdiufqevejkq
非全日制	1129	jeeyebjin jeeyebjimn
特別重要	1129	jhaosnjbfij jhfaosnjbfij jhfaosnjbfihlj
破爛	1129	joxvyv jorxvyppv
不關	1129	jqpph jqppggh
不法	1129	jqwfg
收聽	1129	nxnew nxneetw
嘆氣	1129	ohyaqt ohoiyaqvt
過失	1129	ozjiy ouozjiy
鷹眼	1129	rymdek ryyimdek
歲數	1129	tlqbqx tlrmqbqljx
李敖	1129	tpifsx
倡議	1129	ybbioq ybbioveq
你讓我	1129	ymiokjkq ymioiokjkq ysmioiokjkxq
拿一個	1128	aojiyo aojijiyo aojijiyoto
晨報	1128	brkfvx brikfvfpx
加蓋	1128	cjohfi cjohfgmi
下到	1128	fgn fgfn
趕往	1128	ftfjye ftybfjyqe
共青團	1128	hvfdoba hvfdobga
二年級	1128	iiycjgmx iiycjgmjx
六七	1128	ijqil
就這個	1128	iqizyo iomxqiozyoto
文化課	1128	ixyciot ixyciobt
大賣	1128	iyfmv iyfmdv
重要講話	1128	jbfijiofioo jbfijiohufioo jbfihljiohufiojto
身形	1128	jnjihe jnejihe
復現	1128	jyxedl jyybxedjl
飛龍	1128	knkive knkivdse
情不自禁	1128	mfdjqjdittm mfdjqjdittim
情婦	1128	mfdljm mfdljeum
回學校	1128	oofitix oofitivx oofxxfitivx
中西	1128	qihi
寄存器	1128	qujxpiooo qukojxpiookqo
感傷	1128	rwyyj rwyybsj roxqwyybsj
柑橘	1128	thitpo thitppjo
頻譜	1128	tlviob tlmjviovnb
真沒	1128	tuvwx tuevwx tuevwsx
糧油	1128	vtfwuf vtbbfwuf
火柴	1128	vytlt vytlct
常來	1128	wumtyy wuomtyy
淺色	1128	wxqsdl wxqxqsdl
海峽	1128	wyiwky wyoiwkyy
伊斯蘭	1128	yejhethpv yejhevrthpptv
佔優	1128	ytoyjx ytoyjdux
選擇權	1128	zzzkmfthf zzhvzkmevfthoof
時刻表	1127	baignfjk baigynfjk bfaigynfjk
幾張圖	1127	gqsfkooo gqsfikooioo ggjqqsfikooioo
藍海	1127	hciwyi hckaiwyoi
專業生產	1127	ibanvrjhiixf ibganvvhrjhiixrjf
百度雲	1127	ijbrhxmig ijbrhxmiiig
融洽	1127	iogwao iouvgwao
自己覺得	1127	jdizfxljya jdizfxxfljyba
靠什麼	1127	jfeytrg jfoeeytrg jfoeeytrttg
很久沒有	1127	jkjjrwxxd jyekjjrwsxxd
很少會	1127	jkmjab jyekmjavb
心存	1127	jlqxpi jlqqxpi
復牌	1127	jyxkjt jyybxkjbjt
好成績	1127	lirqgmv lirqgmfdv ljpircxqgmfdv
霍金	1127	mifyfv miiyfyfv
風量	1127	njgbbf njogbbf
國產遊戲	1127	oqixfiszroq oqixrjfisypzrovxq ooxqixrjfisypzrovxq
客流	1127	quowil quxowignl
處理方法	1127	rxnebfiswfg
東野圭吾	1127	tbbfpffido tbbfppffido
東北人	1127	tbfcy
步行街	1127	tlmjjjyj tlmjjjyffj tlmjyijjyffj
出單	1127	uwoot uwoobt
鄭智	1127	vhpykb vhikpykob
漳州	1127	witnnn wivbtnnn
滑蓋	1127	wodhfi woudhfgmi
沒機會	1127	wxtgqab wxtggjqab wsxtggjqavb
第三部分	1126	aajiiiivpvp aasjiiiivopvp
脫節	1126	dvlaap dvojlaaegp
王朔	1126	evwd
教輔	1126	fjxibq fjpxibtdq
超額	1126	ftoquv ftypoquxov
蓋帽	1126	hfimbi hfgmimbdi
衰敗	1126	ibkdvx ibjkdvx
元代	1126	ijlyxq
請與	1126	iodfsv iofdfsfv
可以採用	1126	iojlqykwtuh
天意	1126	ixrivw ixrivbw
自然災害	1126	jdidmllyquo jdidmlllvyqueo jdidkqmlllvyqueo
撤回	1126	kixoo kigdxoo
投資銀行	1126	knxisvyfkjj knxisydvyfvekjj knxisydvyfvekjyij
抓捕	1126	krqkdq
以太網	1126	lqyiagml lqyiagmuvl
零下	1126	mipf miiapf
戰略性	1126	ooqotomjf oobtqotxomjf
陰天	1126	pagixr pajigixr
遜色	1126	pjzsdl pjgmzsdl
彪悍	1126	rnembf
肉肉	1126	uyyuyy
料酒	1126	vttwhi vtitwhi
漲粉	1126	wskvtp wsfikvtvp
沒有選擇	1126	wxxdzzzkmf wxxdzzhvzkmevf wsxxdzzhvzkmevf
獵鷹	1126	xjlrym xjlllryyim
各個國家	1126	xoyooqqk xoyotoooxqqujk
你還得	1126	ymmzjya ysmmiojzjyba
發信息	1125	axyiojdw ajqsxyiojdw
申明	1125	bjbd
纖細	1125	gmqgmt gmyyqgmot
太深	1125	iawut iawuvt
輸液	1125	ibnwir ibtanwiyar
事前	1125	iojvdn ioejvdn
託運	1125	iofubz iojfubtz
大學時	1125	iyfiba iyfxxfibfa
上還	1125	jiimz jiimiojz
毛錢	1125	jilyfq jilyfvxq
我發	1125	jkqax jkxqajqsx
不凡	1125	jqnq
彷徨	1125	jysjye jyisjyjbe
還清	1125	mzwfd miojzwfd
喝多了	1125	oblaap obsylaap
十屆	1125	trfu
攀爬	1125	txjrrl txxtjrrdl
軍用	1125	ubtuh
注目	1125	wqedi
全球通	1125	yeekqpuz yeekqpuhz
人次	1125	yisy
他也會	1125	ylplab yplplavb
籌集	1124	aaayit aafjayift
第一頁	1124	aajijdv aasjijdv
令他	1124	apyl apypl
明媚	1124	bdlji bdljrdi
教研室	1124	fjxjohquf fjpxjohqugf
臺海	1124	fofwyi fougfwyoi
舉證	1124	fshiov fsfvhioajv
絲絲	1124	gmmgmm gmgmgmgm
統計局	1124	gmliotrco gmigliotrco
總隊	1124	gmwpvk gmjowpvjk
世界排名	1124	hlotnkeeao hlotvnkeeao
驚恐	1124	hsminw hsoxminqw
一地	1124	ifpl
瓷器	1124	isqooo isyiqookqo
手環	1124	jijemk jijemiok
很煩	1124	jkvyv jkvyjdv jyekvyjdv
心甘情願	1124	jlqhimfdrjv jlqqhimfdrjbmv
不敢相信	1124	jqcnxtdiyio jqcnextdiyio
千人	1124	jty
徵文	1124	jyxix jywexix
捐獻	1124	kodroq kodrouvq
階梯	1124	pcbtvj pccjbtvsj
社會生活	1124	qmfabjhiwjo qmfabjhiwjto qmfavbjhiwjto
房產證	1124	risixfiov risixrjfioajv
速寫	1124	tozqum tozquffm
出問題了	1124	uwppobfvp uwppobfyjvp
公共衛生	1124	vghvjyjjhi vghvjydojjhi
兌付	1124	volya vojlya
迷離	1124	vtzixf vtzixuuf
燒香	1124	vyljtb vyffljtb
測驗	1124	wdnshy wdvnshmay
會晤	1123	abbdo avbbdo
緊跟	1123	ckmotk ckxgmotlek
正反饋	1123	flrxaev flrxaegqv
戴口罩	1123	foqomft fothqomfbt
聲中	1123	freq frnxeq
繽紛	1123	gmvgmp gmquvgmvp
冷汗	1123	iapwf
三鹿	1123	iiirhc iiirhcc
一言	1123	iio
訪華	1123	ioshhh ioishhh
高斯	1123	ioohet iouohevrt
調製	1123	ioojik ioufojimnk
敲詐	1123	ioxioi iouoxioki
大量使用	1123	iybbfyoxuh
一個勁	1123	iyoilj iyoilllj iyotoilllj
靠背	1123	jfefcd jfoeefcd
失意	1123	jiyivw jiyivbw
我大	1123	jkqiy jkxqiy
科技園	1123	jttktxofk jtitktxofojk
及早	1123	jxbt
拉上	1123	kivjii
據點	1123	krkvo krjkvo krjkvfmto
好久沒有	1123	lijjrwxxd ljpijjrwsxxd
如玉	1123	ljoeq
小視頻	1123	mqmltlv mqmdjltlmjv
母女	1123	oilj
神學	1123	qmjfi qmbjfi qmbjfxxfi
完備的	1123	qulyhhja quijlyhjuhja quijlyhjuhjba
安裝包	1123	qujkfksz quljkfijksz
所載	1123	rrtfbq rrtfbtxq
相傳	1123	tdiyba tdiybga
出席會議	1123	uwrhmabioq uwrhmabioveq uwrhmavbioveq
美味的	1123	vekohqja vekohjqja vekohjqjba
油菜	1123	wufhwt
深陷	1123	wutpse wuvtpsfe
在世界上	1123	xfhlotnjii xfhlotvnjii
知識面	1123	ykoioqjoi ykoioivqjoni
你該	1123	ymioy ysmioigy
多有	1122	aaxd
暴走	1122	bhkfty bhvkfty
夥伴們	1122	btayvhypp btaayvhypp
刀子	1122	cjpi
已經知道	1122	clgmiykovz clgmlliykovz clgmlliykovjdz
疑點	1122	cyyvo cykpyvo cykpyvfmto
縣級以上	1122	dlmgmxlqyjii dlmjmgmjxlqyjii
舉止	1122	fshtl fsfvhtl
超脫	1122	ftodvl ftypodvojl
百倍	1122	ijbyio ijbyivo
冰凍	1122	ikitb
末流	1122	itrwil itjrwignl
失敗者	1122	jiydvxfjb
招招	1122	kpokpo
露出了	1122	miouwp miioouwp
國富論	1122	oqqutioh oqquootioauh ooxqquootioauh
跪在	1122	otzxf otlszxf
開發利用	1122	pphaxjtnuh pphajqsxjtnuh
通讀	1122	puziov puhziofmv
麥子	1122	tyapi tyyapi
導致我	1122	vjagfxjkq vjdzagfxjkq vjdzagfxjkxq
鋪設	1122	yfqiox yfvdqionx
價格低	1122	yhvtxoycq yhdvtxoycxq
任期	1122	yjfhed yjfhevd
做功	1122	yxicj ytoxicj
做作	1122	yxyki ytoxyki
發表文章	1121	axfjkixivt axfjkixivbt ajqsxfjkixivbt
購物中心	1121	dvfjhjqjlq dvhufjhsjqjlqq
學年	1121	fiycj fxxfiycj
輕信	1121	ibiyio ibtliyio
詞庫	1121	ioorbt iocorbt
哥特	1121	iojjha iotojjhfa
訂婚	1121	iojljb iojljcxb
議論文	1121	ioqiohix ioveqioauhix
龍的	1121	iveja ivdseja ivdsejba
競爭中	1121	ivlwejq ivojlwejq
我剛才	1121	jkquvntj jkquvwntj jkxquvwntj
微星	1121	jyxbjf jywnxbjf
投資價值	1121	knxisvyhvyti knxisydvyhdvytuei
恩怨	1121	okwazw
回國後	1121	oooqjx ooooxqjygx
阿哥	1121	pojioj pojiotoj
安德森	1121	qujjywttt quljjytmwttt
突然覺得	1121	quqdmfxljya quvkqdmfxljya quvkqdkqmfxxfljyba
才得以	1121	tjjyalqy tjjybalqy
卻讓	1121	vypiok vyopioiok
在考慮	1121	xffjsrow xffjsrotw
各式	1121	xoiiq
但是大家	1121	ybibyiyqk ybibfyiyqujk
忌諱	1121	zwioh zwiodoh
第六章	1120	aajijqivt aasjijqivbt
發射的	1120	axjnaja axjnejaja ajqsxjnejajba
暗物質	1120	bibjhjrtv bivbjhsjrtrtv
退縮	1120	ekzgmb ekzgmqub
瑣事	1120	ewvioj ewdvioej
坑裏	1120	finik finibfjk
牙齒的	1120	fjtluja fjtlyyuja fjtlyyujba
連帶	1120	ibzxhm ibtzxhlum
刻骨銘心	1120	ignoudyfojlq igynoudyfvaojlqq
票數	1120	ihmbqx ihembqljx
蠻大	1120	iogiy iogmgiy
辨認	1120	ivfiow ivxyfiopqw
交通銀行	1120	ivxpuzyfkjj ivxpuhzyfvekjj ivxpuhzyfvekjyij
一年時間	1120	iycjbappb iycjbfappb
物價局	1120	jhjyhvrco jhsjyhdvrco
否決	1120	jqowcy
後將	1120	jxka jygxkda
復位	1120	jyxyiv jyybxyiv
性能測試	1120	mjfgcwdnioq mjfgcwdvnioiq mjfgdccwdvnioiq
兩所	1120	myyrrt
迴音	1120	oozivb
圈圈	1120	ovzovz oviyzoviyz
寶安	1120	quvquj queyvqulj
壓縮包	1120	rbfgmbsz rbdkfgmqubsz
獻身	1120	roqjnj rouvqjnej
由衷	1120	ufiqk ufiqjk
周潤發	1120	ufowpeax ufowppeax ufowppeajqsx
差錯	1120	veiyfb vejiyfvhb
黑手	1120	vfmjij
激戰	1120	wjxooq wjbixoobtq
洶湧	1120	wsuwpj wsxuwpuhj
深空	1120	wutqui wuvtquvi
準確度	1120	wytjofrhx wyiftjouyfrhx
進步了	1120	yiztlmp yifztlmp
做錯了	1120	yxyfbp yxyfvhbp ytoxyfvhbp
伴着	1120	yvhvei yvhvejdi
份上	1120	yvpjii
迅馳	1120	ztzshl ztzshmpl
顯出	1119	bgvuw bggmvuw
架勢	1119	cjtfvj cjotfvfaj
諮詢服務	1119	iooiobdpxppj ioisoiosbdpxppjxj
訓練方法	1119	iongmviswfg iojngmtviswfg
大連市	1119	iyibzqm iyibtzqm
烈火	1119	jamvy janmvy
的風	1119	janjg janjog jbanjog
香的	1119	jtbja jtbjba
從頭開始	1119	jyiovpphljo jyiovjvpphljgo jyyyyiovjvpphljgo
裝有	1119	kfkxd kfijkxd
怎麼在	1119	kiwrgxf kiwrttgxf
小樓	1119	mtbj mtbqlj
兩廂	1119	myyrti myyrtdi
審定	1119	qutquy qujvtqufy
棍子	1119	tbcpi tbccpi
楷書	1119	tcbefb tccjbefb
分析能力	1119	vptrtgccj vptrtgdcccj
存入	1119	xpijq
金融資產	1119	yfviogisvixf yfviouvgisydvixrjf
時也	1118	bapl bfapl
早盤	1118	btjui btjuini
臨走	1118	ckofty ckyoofty
珊瑚蟲	1118	euietdogg euuietodogogg
老友記	1118	fjcxxioz
正道	1118	flvz flvjdz
西洋	1118	ihiwvf
二十歲	1118	iittlq iittlrmq
辦公桌	1118	ivfvgtbt ivxcfvgtbt
丟棄	1118	jfgigt jfgight
摸着	1118	khkvei khbkvejdi
打出來	1118	kjuwtyy
小龍蝦	1118	miveogx mivdseogrix
中英文	1118	qhukix
家政	1118	qkflx qujkflx
愛美	1118	wuxvek wuwxvek
在倫敦	1118	xfyahiox xfyauhiopx
你的錢	1118	ymjayfq ymjayfvxq ysmjbayfvxq
簡體中文	1117	aabouvqix aappbouduvqix
發自	1117	axjdi ajqsxjdi
發展過程	1117	axrhkozjte axrhkozjtoe ajqsxrhkouozjtoe
數萬	1117	bqxhbg bqljxhbug
老牛	1117	fjcjh
參加比賽	1117	ggecjoccquv gggyecjoccquhvv
給了你	1117	gmopym gmaopym gmaopysm
散發出	1117	hdxaxuw hdxajqsxuw
基金管理	1117	hefyfvaabebf hevfyfvaaqubebf
專業方向	1117	ibanvrisjuo ibganvvhrisjuo
再走	1117	iuffty
大禮包	1117	iyqmvsz iyqmuhvsz
上海大衆	1117	jiiwyiiyjmk jiiwyoiiyjmyjk
很乾淨	1117	jktbzwwj jktbtyzwwej jyektbtyzwwej
礦井	1117	jovin jorhvin
控制檯	1117	kqijintff kquvijimntfouf
技術研究	1117	ktxjyjjohquz ktxjytqjjohquvjz
如何正確	1117	ljoyojfljof ljoyojfljouyf
情感上	1117	mfdrwjii mfdroxqwjii
雨中	1117	miiq
雖不	1117	oofjq oogyfjq
矜持	1117	ppjkfa ppjajkfa
之列	1117	qzjan
焚燒	1117	ttyvyl ttvyvyffl
半路	1117	vhoto vhotlxo
浦發	1117	wdqax wdqajqsx
洗錢	1117	wjlyfq wjfjlyfvxq
有情	1117	xdmfd
鎮定	1117	yfvquy yfvcvqufy
金髮	1117	yfvfiq yfvfigeq
進行調查	1117	yizjjiootbi yifzjjioufotbi yifzjyijioufotbi
仔細觀察	1117	ypigmtholqum ypigmothooylqudzm
發展歷程	1116	axrhkrjljte axrhkrjtjljtoe ajqsxrhkrjtjljtoe
能跑	1116	gcotz gcotlsz gdccotlsz
組圖	1116	gmeooo gmueooioo
三個代表	1116	iiiyoyxqfjk iiiyotoyxqfjk
勁兒	1116	iljfel illljfejl
大致是	1116	iygfxby iygfxbfy
歸結	1116	jbmgmo jbtlmgmfo
生肖	1116	jhiwd
看着你	1116	jiveiym jivejdiym jijdivejdiysm
心眼	1116	jlqdek jlqqdek
不菲	1116	jqhee
科技發展	1116	jttktxaxrhk jtitktxaxrhk jtitktxajqsxrhk
聚聚	1116	neknek nexyknexyk
條件反射	1116	nxtyjhrxjna nxtyjhrxjneja
遺棄	1116	qdzigt qdvzight
安全套	1116	qujyekfg quljyekfig
實證	1116	qviov qvioajv quotvioajv
疆域	1116	sfifoq sfotifoxq
十六屆	1116	tijqrfu
盪漾	1116	wbiwvk wbsjiwveqk
必考	1116	wjfjs
河西	1116	wojihi
凱文	1116	wonix wovnix
沒考上	1116	wxfjsjii wsxfjsjii
常見問題	1116	wumdjlppobfv wuomdjlppobfyjv
獲益	1116	xjxvvi xjhyxvvmi
信息發佈	1116	yiojdwaxyxm yiojdwajqsxyxm
無暇	1116	ymmbrx ymmbricx
每場	1116	yoifbj yoifbsj
多種形式	1115	aajtfiheiiq aajtjbfiheiiq
鄧艾	1115	ajphx ajqophx
暴露在	1115	bhkmioxf bhvkmiiooxf
球門	1115	ekqpp
春光	1115	eybwjl
去面對	1115	fgjoina fgjonina fgjoninvvea
去香港	1115	fgjtbwhz fgjtbwhvz
都看	1115	fpji fjbpjijdi
老舊	1115	fjchye fjchyife
臺商	1115	fofivo fougfivuvo
地下水	1115	fplfk
練習曲	1115	gmvjibuh gmtvjijibuh
鄉親	1115	gqpivl gqegpivtdl
功放	1115	icjisx
三五	1115	iiiid
部副	1115	ivpion ivopiootn
看小說	1115	jimiol jijdimiovol
而是說	1115	jmbyiol jmbfyiovol
德行	1115	jywjj jytmwjj jytmwjyij
拍成	1115	kjbrq kjbrcxq
托盤	1115	kjfjui kjfjuini
投資項目	1115	knxisvijvdi knxisydvijdvdi
好漂亮	1115	liwhmion liwhemioun ljpiwhemioun
小企業	1115	mytlnvr mytlnvvhr
富婆	1115	qutwrj quootwrxlj
窗體	1115	quxouv quvjxouduv
庫房	1115	rbtris
由於我	1115	ufisqjkq ufisaqjkq ufisaqjkxq
冠軍盃	1115	uiaubtjqi uijlaubtjqmi
首輪	1115	vjiibh vjdiibtah
外籍	1114	aqaab aqaaitb
時事	1114	baioj baioej bfaioej
那個男人	1114	cpyootjy cpyootcjy cijpyotootcjy
架設	1114	cjtiox cjotionx
匯豐	1114	cwfjev cwyifjeeuv
既定	1114	eglquy egxlqufy
增益	1114	fvbvvi fvvbvvmi
專業排名	1114	ibanvrkeeao ibganvvhrkeeao
暫不	1114	ibbjq ibtrbjq
西部地區	1114	ihiivpfplcoo ihiivopfplcooo
試論	1114	ioqioh ioiqioauh
次要	1114	isyij isyihlj
一卡通	1114	itfpuz itfpuhz
科技進步	1114	jttktxyiztlm jtitktxyifztlm
丸子	1114	jzqpi
小刀	1114	mcj
喚起	1114	oskfz osuvkfz osuvkftyz
唯一一次	1114	oyfiiisy oyifiiisy
張某	1114	sfkhit sfikhit
剪裁	1114	vdpfiq vdnpfijkq
美容院	1114	vekquopql vekquvyopqujl
黑心	1114	vfmjlq vfmjlqq
熔斷	1114	vyoggt vyquoggggt
濱江	1114	wqvwi wqumvwi
愛戀	1114	wuxiow wuwxiogmw
年僅	1114	ycjyhf ycjyhof
集資	1114	yitisv yiftisydv
外灘	1113	aqwhf aqwhoif
時間序列	1113	bappbrppjan bfappbrppjan
冒犯	1113	bdixjz
申請書	1113	bjiodefb bjiofdefb
疑慮	1113	cyyrow cykpyrotw
違法的	1113	dozwfgja dohzwfgja dohzwfgjba
畫廊	1113	efirqp efotirqegp
正反	1113	flrx
能幫	1113	gcfim gcfiajm gdccfiajm
絞盡腦汁	1113	gmxetidlxwt gmivxetmmidlllxwt
世俗的	1113	hlyvoja hlyvyoja hlyvyojba
配售	1113	ihzyio ihizyifo
記不清了	1113	iozjqwfdp
這真是	1113	iztuvby iztuevby ioztuevbfy
方圓	1113	isoov isoodv
大關	1113	iypph iyppggh
我等	1113	jkqaaa jkqaafa jkxqaafa
不可能的	1113	jqiojgcja jqiojgdccjba
稀疏	1113	jtmjtl jtxxmjtlil
得手	1113	jyajij jybajij
撒上	1113	khxjii khdxjii
打火機	1113	kjvytgq kjvytggjq
如願	1113	ljorjv ljorjbmv
她要	1113	llij ljplihlj
關聯性	1113	pphnehmjf ppgghnegghmjf
原子彈	1113	rjmpisot rjbmpisoobt
幹線	1113	tbfgmk tbtyfgmjbk
校門	1113	tixpp tivxpp
整場	1113	tolfbj toxflfbsj
林克	1113	tttol tttojl
出貨量	1113	uwycvbbf uwycdvbbf
墨跡	1113	vffotv vfmfotliv
酒後	1113	whijx whijygx
潤滑油	1113	wpewodwuf wppewoudwuf
在看到	1113	xfjign xfjijdigfn
各異	1113	xootv xoothv
依依	1113	yikyik yijkyijk
住進	1113	yqeyiz yqeyifz
笑意	1112	aayivw aaiyivbw
下載量	1112	ffbqbbf ffbtxqbbf
轉載自	1112	ibafbqjdi ibtbafbtxqjdi
謹防	1112	iofpis iohofpis
可是你	1112	iojbyym iojbfyysm
就這些	1112	iqiztli iqiztlci iomxqioztlci
